Date,Total_Accident
06/08/2016,353
07/08/2016,353
08/08/2016,350
09/08/2016,380
10/08/2016,371
11/08/2016,372
12/08/2016,475
13/08/2016,364
14/08/2016,276
15/08/2016,400
16/08/2016,397
17/08/2016,427
18/08/2016,365
19/08/2016,474
20/08/2016,332
21/08/2016,280
22/08/2016,299
23/08/2016,405
24/08/2016,366
25/08/2016,391
26/08/2016,483
27/08/2016,325
28/08/2016,291
29/08/2016,346
30/08/2016,415
31/08/2016,340
01/09/2016,366
02/09/2016,379
03/09/2016,372
04/09/2016,283
05/09/2016,384
06/09/2016,362
07/09/2016,378
08/09/2016,425
09/09/2016,421
10/09/2016,407
11/09/2016,315
12/09/2016,390
13/09/2016,430
14/09/2016,437
15/09/2016,437
16/09/2016,432
17/09/2016,328
18/09/2016,290
19/09/2016,397
20/09/2016,345
21/09/2016,391
22/09/2016,408
23/09/2016,472
24/09/2016,320
25/09/2016,319
26/09/2016,384
27/09/2016,348
28/09/2016,424
29/09/2016,429
30/09/2016,498
01/10/2016,417
02/10/2016,352
03/10/2016,441
04/10/2016,393
05/10/2016,464
06/10/2016,398
07/10/2016,373
08/10/2016,336
09/10/2016,296
10/10/2016,428
11/10/2016,417
12/10/2016,404
13/10/2016,445
14/10/2016,420
15/10/2016,395
16/10/2016,320
17/10/2016,422
18/10/2016,405
19/10/2016,409
20/10/2016,372
21/10/2016,388
22/10/2016,336
23/10/2016,253
24/10/2016,324
25/10/2016,313
26/10/2016,367
27/10/2016,335
28/10/2016,408
29/10/2016,314
30/10/2016,255
31/10/2016,424
01/11/2016,365
02/11/2016,453
03/11/2016,452
04/11/2016,519
05/11/2016,375
06/11/2016,317
07/11/2016,427
08/11/2016,434
09/11/2016,434
10/11/2016,434
11/11/2016,532
12/11/2016,408
13/11/2016,287
14/11/2016,399
15/11/2016,447
16/11/2016,478
17/11/2016,432
18/11/2016,527
19/11/2016,407
20/11/2016,280
21/11/2016,465
22/11/2016,440
23/11/2016,400
24/11/2016,388
25/11/2016,566
26/11/2016,361
27/11/2016,257
28/11/2016,467
29/11/2016,521
30/11/2016,469
01/12/2016,537
02/12/2016,487
03/12/2016,331
04/12/2016,333
05/12/2016,394
06/12/2016,402
07/12/2016,487
08/12/2016,472
09/12/2016,519
10/12/2016,322
11/12/2016,322
12/12/2016,377
13/12/2016,439
14/12/2016,437
15/12/2016,410
16/12/2016,486
17/12/2016,294
18/12/2016,265
19/12/2016,372
20/12/2016,383
21/12/2016,411
22/12/2016,419
23/12/2016,356
24/12/2016,274
25/12/2016,138
26/12/2016,187
27/12/2016,261
28/12/2016,286
29/12/2016,295
30/12/2016,249
31/12/2016,201
01/01/2017,242
02/01/2017,291
03/01/2017,301
04/01/2017,334
05/01/2017,437
06/01/2017,373
07/01/2017,257
08/01/2017,226
09/01/2017,424
10/01/2017,402
11/01/2017,365
12/01/2017,429
13/01/2017,408
14/01/2017,315
15/01/2017,207
16/01/2017,367
17/01/2017,401
18/01/2017,389
19/01/2017,396
20/01/2017,485
21/01/2017,356
22/01/2017,272
23/01/2017,381
24/01/2017,400
25/01/2017,425
26/01/2017,401
27/01/2017,399
28/01/2017,370
29/01/2017,348
30/01/2017,345
31/01/2017,401
01/02/2017,333
02/02/2017,394
03/02/2017,449
04/02/2017,358
05/02/2017,247
06/02/2017,403
07/02/2017,430
08/02/2017,353
09/02/2017,338
10/02/2017,431
11/02/2017,282
12/02/2017,222
13/02/2017,358
14/02/2017,392
15/02/2017,382
16/02/2017,393
17/02/2017,356
18/02/2017,297
19/02/2017,224
20/02/2017,332
21/02/2017,298
22/02/2017,351
23/02/2017,353
24/02/2017,418
25/02/2017,271
26/02/2017,249
27/02/2017,389
28/02/2017,437
01/03/2017,372
02/03/2017,394
03/03/2017,411
04/03/2017,300
05/03/2017,278
06/03/2017,352
07/03/2017,360
08/03/2017,336
09/03/2017,391
10/03/2017,336
11/03/2017,303
12/03/2017,230
13/03/2017,342
14/03/2017,336
15/03/2017,431
16/03/2017,352
17/03/2017,367
18/03/2017,315
19/03/2017,240
20/03/2017,317
21/03/2017,378
22/03/2017,357
23/03/2017,330
24/03/2017,410
25/03/2017,419
26/03/2017,308
27/03/2017,366
28/03/2017,371
29/03/2017,326
30/03/2017,359
31/03/2017,419
01/04/2017,324
02/04/2017,352
03/04/2017,343
04/04/2017,310
05/04/2017,367
06/04/2017,380
07/04/2017,377
08/04/2017,437
09/04/2017,387
10/04/2017,268
11/04/2017,346
12/04/2017,286
13/04/2017,326
14/04/2017,283
15/04/2017,302
16/04/2017,246
17/04/2017,224
18/04/2017,354
19/04/2017,296
20/04/2017,305
21/04/2017,312
22/04/2017,323
23/04/2017,251
24/04/2017,341
25/04/2017,370
26/04/2017,383
27/04/2017,351
28/04/2017,330
29/04/2017,299
30/04/2017,300
01/05/2017,262
02/05/2017,372
03/05/2017,377
04/05/2017,334
05/05/2017,401
06/05/2017,300
07/05/2017,301
08/05/2017,301
09/05/2017,377
10/05/2017,386
11/05/2017,362
12/05/2017,394
13/05/2017,310
14/05/2017,286
15/05/2017,351
16/05/2017,375
17/05/2017,375
18/05/2017,386
19/05/2017,373
20/05/2017,333
21/05/2017,296
22/05/2017,387
23/05/2017,357
24/05/2017,412
25/05/2017,454
26/05/2017,503
27/05/2017,352
28/05/2017,300
29/05/2017,255
30/05/2017,313
31/05/2017,337
01/06/2017,378
02/06/2017,378
03/06/2017,338
04/06/2017,271
05/06/2017,379
06/06/2017,377
07/06/2017,344
08/06/2017,363
09/06/2017,383
10/06/2017,314
11/06/2017,287
12/06/2017,311
13/06/2017,403
14/06/2017,410
15/06/2017,430
16/06/2017,412
17/06/2017,394
18/06/2017,352
19/06/2017,431
20/06/2017,439
21/06/2017,415
22/06/2017,389
23/06/2017,401
24/06/2017,351
25/06/2017,291
26/06/2017,389
27/06/2017,349
28/06/2017,397
29/06/2017,372
30/06/2017,382
01/07/2017,351
02/07/2017,389
03/07/2017,355
04/07/2017,420
05/07/2017,449
06/07/2017,386
07/07/2017,470
08/07/2017,365
09/07/2017,311
10/07/2017,383
11/07/2017,419
12/07/2017,440
13/07/2017,402
14/07/2017,393
15/07/2017,351
16/07/2017,296
17/07/2017,440
18/07/2017,390
19/07/2017,329
20/07/2017,383
21/07/2017,416
22/07/2017,382
23/07/2017,308
24/07/2017,298
25/07/2017,348
26/07/2017,322
27/07/2017,334
28/07/2017,363
29/07/2017,343
30/07/2017,278
31/07/2017,336
01/08/2017,348
02/08/2017,366
03/08/2017,296
04/08/2017,354
05/08/2017,336
06/08/2017,304
07/08/2017,285
08/08/2017,331
09/08/2017,362
10/08/2017,353
11/08/2017,332
12/08/2017,300
13/08/2017,331
14/08/2017,325
15/08/2017,355
16/08/2017,357
17/08/2017,406
18/08/2017,374
19/08/2017,289
20/08/2017,309
21/08/2017,297
22/08/2017,328
23/08/2017,330
24/08/2017,296
25/08/2017,392
26/08/2017,305
27/08/2017,320
28/08/2017,288
29/08/2017,320
30/08/2017,353
31/08/2017,359
01/09/2017,395
02/09/2017,355
03/09/2017,284
04/09/2017,330
05/09/2017,349
06/09/2017,354
07/09/2017,348
08/09/2017,457
09/09/2017,382
10/09/2017,297
11/09/2017,388
12/09/2017,426
13/09/2017,371
14/09/2017,376
15/09/2017,436
16/09/2017,336
17/09/2017,294
18/09/2017,357
19/09/2017,407
20/09/2017,355
21/09/2017,369
22/09/2017,509
23/09/2017,296
24/09/2017,309
25/09/2017,345
26/09/2017,348
27/09/2017,403
28/09/2017,409
29/09/2017,435
30/09/2017,371
01/10/2017,258
02/10/2017,331
03/10/2017,428
04/10/2017,332
05/10/2017,415
06/10/2017,426
07/10/2017,340
08/10/2017,260
09/10/2017,295
10/10/2017,418
11/10/2017,416
12/10/2017,416
13/10/2017,377
14/10/2017,336
15/10/2017,306
16/10/2017,356
17/10/2017,370
18/10/2017,388
19/10/2017,450
20/10/2017,449
21/10/2017,337
22/10/2017,252
23/10/2017,327
24/10/2017,328
25/10/2017,365
26/10/2017,349
27/10/2017,504
28/10/2017,314
29/10/2017,311
30/10/2017,360
31/10/2017,380
01/11/2017,373
02/11/2017,357
03/11/2017,436
04/11/2017,357
05/11/2017,286
06/11/2017,438
07/11/2017,422
08/11/2017,431
09/11/2017,398
10/11/2017,455
11/11/2017,344
12/11/2017,289
13/11/2017,376
14/11/2017,421
15/11/2017,434
16/11/2017,436
17/11/2017,450
18/11/2017,328
19/11/2017,305
20/11/2017,379
21/11/2017,394
22/11/2017,428
23/11/2017,458
24/11/2017,497
25/11/2017,383
26/11/2017,315
27/11/2017,431
28/11/2017,465
29/11/2017,416
30/11/2017,456
01/12/2017,559
02/12/2017,315
03/12/2017,269
04/12/2017,388
05/12/2017,377
06/12/2017,413
07/12/2017,428
08/12/2017,466
09/12/2017,323
10/12/2017,228
11/12/2017,334
12/12/2017,393
13/12/2017,391
14/12/2017,468
15/12/2017,476
16/12/2017,368
17/12/2017,247
18/12/2017,448
19/12/2017,389
20/12/2017,338
21/12/2017,356
22/12/2017,393
23/12/2017,289
24/12/2017,220
25/12/2017,137
26/12/2017,259
27/12/2017,264
28/12/2017,296
29/12/2017,240
30/12/2017,210
31/12/2017,188
